2025-12-27T10:57:31.000000000Z [inf]  Starting Container
2025-12-27T10:57:32.982127253Z [inf]  🔧 [app.js] File loading started...
2025-12-27T10:57:32.982135599Z [inf]  ✅ [app.js] express loaded
2025-12-27T10:57:32.982143271Z [inf]  ✅ [app.js] cors loaded
2025-12-27T10:57:32.985941372Z [inf]  ✅ [app.js] helmet loaded
2025-12-27T10:57:32.985952892Z [inf]  ✅ [app.js] express-rate-limit loaded
2025-12-27T10:57:32.985955324Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:32.985961018Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:32.985962489Z [inf]  ✅ [app.js] express-session loaded
2025-12-27T10:57:32.985970208Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:32.985971244Z [inf]  ✅ [app.js] connect-session-sequelize loaded
2025-12-27T10:57:32.985979185Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:32.985979618Z [inf]  ✅ [app.js] dotenv configured
2025-12-27T10:57:32.985989979Z [inf]  🛠️ [app.js] About to load models...
2025-12-27T10:57:32.985999930Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:32.986286822Z [inf]  ✅ Sequelize initialized for production environment
2025-12-27T10:57:32.986296571Z [inf]  📍 Database: railway at mysql.railway.internal:3306
2025-12-27T10:57:32.986303852Z [inf]  ✅ [app.js] models loaded
2025-12-27T10:57:32.986311650Z [inf]  🛠️ [app.js] About to load middleware...
2025-12-27T10:57:32.986318420Z [inf]  ✅ [app.js] logger loaded
2025-12-27T10:57:32.986326004Z [inf]  ✅ [app.js] errorHandler loaded
2025-12-27T10:57:32.986332937Z [inf]  ✅ [app.js] requestValidator loaded
2025-12-27T10:57:32.986342569Z [inf]  🛠️ [app.js] About to load routes...
2025-12-27T10:57:32.986349306Z [inf]  🔧 [movieRoutes.js] File loading started...
2025-12-27T10:57:32.986356465Z [inf]  ✅ [movieRoutes.js] express loaded
2025-12-27T10:57:32.986365334Z [inf]  ✅ [movieRoutes.js] movieController loaded
2025-12-27T10:57:32.986373383Z [inf]  ✅ [movieRoutes.js] requestValidator loaded
2025-12-27T10:57:32.986380463Z [inf]  ✅ [movieRoutes.js] errorHandler loaded
2025-12-27T10:57:32.986388170Z [inf]  ✅ [movieRoutes.js] Router created
2025-12-27T10:57:32.986397224Z [inf]  🎉 [movieRoutes.js] ALL IMPORTS SUCCESSFUL!
2025-12-27T10:57:32.986404030Z [err]  ❌ [app.js] FAILED to load movieRoutes: Schema does not contain path page
2025-12-27T10:57:32.986784034Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:32.986791133Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:32.986798808Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:32.986804181Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:32.986809395Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:32.986814059Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:32.986818582Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:32.986825277Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:32.986830777Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:32.986835130Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:32.986840563Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:32.986845086Z [err]  ❌ UNCAUGHT EXCEPTION:
2025-12-27T10:57:32.986850289Z [err]  Name: Error
2025-12-27T10:57:32.986855098Z [err]  Message: Schema does not contain path page
2025-12-27T10:57:32.986861064Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:32.986867391Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:32.986873676Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:32.986879346Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:32.986886095Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:32.986890914Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:33.139671040Z [inf]  🔧 [app.js] File loading started...
2025-12-27T10:57:33.235985316Z [inf]  ✅ [app.js] express loaded
2025-12-27T10:57:33.238057694Z [inf]  ✅ [app.js] cors loaded
2025-12-27T10:57:33.240961676Z [inf]  ✅ [app.js] helmet loaded
2025-12-27T10:57:33.240970603Z [inf]  ✅ [app.js] express-rate-limit loaded
2025-12-27T10:57:33.248971670Z [inf]  ✅ [app.js] express-session loaded
2025-12-27T10:57:33.399132497Z [inf]  ✅ [app.js] connect-session-sequelize loaded
2025-12-27T10:57:33.401120647Z [inf]  ✅ [app.js] dotenv configured
2025-12-27T10:57:33.401148164Z [inf]  🛠️ [app.js] About to load models...
2025-12-27T10:57:33.919008693Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:33.919017822Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:33.919040699Z [inf]  🛠️ [app.js] About to load middleware...
2025-12-27T10:57:33.919048022Z [inf]  ✅ [app.js] logger loaded
2025-12-27T10:57:33.919056885Z [inf]  🛠️ [app.js] About to load routes...
2025-12-27T10:57:33.919060861Z [inf]  ✅ [app.js] errorHandler loaded
2025-12-27T10:57:33.919063526Z [inf]  🔧 [movieRoutes.js] File loading started...
2025-12-27T10:57:33.919063890Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:33.919068678Z [inf]  ✅ [app.js] requestValidator loaded
2025-12-27T10:57:33.919071828Z [inf]  ✅ [movieRoutes.js] express loaded
2025-12-27T10:57:33.919072487Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:33.919088306Z [inf]  ✅ [movieRoutes.js] movieController loaded
2025-12-27T10:57:33.919089480Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:33.919096351Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:33.919097485Z [inf]  ✅ [movieRoutes.js] requestValidator loaded
2025-12-27T10:57:33.919106666Z [inf]  ✅ [movieRoutes.js] errorHandler loaded
2025-12-27T10:57:33.919111960Z [inf]  ✅ [movieRoutes.js] Router created
2025-12-27T10:57:33.919117219Z [inf]  🎉 [movieRoutes.js] ALL IMPORTS SUCCESSFUL!
2025-12-27T10:57:33.919121527Z [err]  ❌ [app.js] FAILED to load movieRoutes: Schema does not contain path page
2025-12-27T10:57:33.919144745Z [inf]  ✅ Sequelize initialized for production environment
2025-12-27T10:57:33.919151319Z [inf]  📍 Database: railway at mysql.railway.internal:3306
2025-12-27T10:57:33.919158487Z [inf]  ✅ [app.js] models loaded
2025-12-27T10:57:33.922871625Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:33.922881261Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:33.922888430Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:33.922896318Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:33.922903169Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:33.922910063Z [err]  ❌ UNCAUGHT EXCEPTION:
2025-12-27T10:57:33.922917086Z [err]  Name: Error
2025-12-27T10:57:33.922924775Z [err]  Message: Schema does not contain path page
2025-12-27T10:57:33.922931158Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:33.922938066Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:33.922951368Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:33.922957466Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:33.923043701Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:33.923052208Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:33.923058935Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:33.923066014Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:33.923075755Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:33.923082362Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:33.923089802Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:34.908508137Z [inf]  ✅ [app.js] express loaded
2025-12-27T10:57:34.908520657Z [inf]  ✅ [app.js] cors loaded
2025-12-27T10:57:34.908528225Z [inf]  ✅ [app.js] helmet loaded
2025-12-27T10:57:34.908535876Z [inf]  ✅ [app.js] express-rate-limit loaded
2025-12-27T10:57:34.908543535Z [inf]  ✅ [app.js] express-session loaded
2025-12-27T10:57:34.908551539Z [inf]  ✅ [app.js] connect-session-sequelize loaded
2025-12-27T10:57:34.908558179Z [inf]  ✅ [app.js] dotenv configured
2025-12-27T10:57:34.908568383Z [inf]  🛠️ [app.js] About to load models...
2025-12-27T10:57:34.908609489Z [inf]  🔧 [app.js] File loading started...
2025-12-27T10:57:34.928416393Z [inf]  ✅ Sequelize initialized for production environment
2025-12-27T10:57:34.928423599Z [inf]  📍 Database: railway at mysql.railway.internal:3306
2025-12-27T10:57:34.958725021Z [inf]  ✅ [app.js] models loaded
2025-12-27T10:57:34.958732757Z [inf]  🛠️ [app.js] About to load middleware...
2025-12-27T10:57:34.994882557Z [inf]  ✅ [app.js] logger loaded
2025-12-27T10:57:34.994890874Z [inf]  ✅ [app.js] errorHandler loaded
2025-12-27T10:57:35.086858401Z [inf]  ✅ [app.js] requestValidator loaded
2025-12-27T10:57:35.086867539Z [inf]  🛠️ [app.js] About to load routes...
2025-12-27T10:57:35.086877559Z [inf]  🔧 [movieRoutes.js] File loading started...
2025-12-27T10:57:35.086884795Z [inf]  ✅ [movieRoutes.js] express loaded
2025-12-27T10:57:35.091713455Z [inf]  ✅ [movieRoutes.js] movieController loaded
2025-12-27T10:57:35.091726792Z [inf]  ✅ [movieRoutes.js] requestValidator loaded
2025-12-27T10:57:35.091732967Z [inf]  ✅ [movieRoutes.js] errorHandler loaded
2025-12-27T10:57:35.091739472Z [inf]  ✅ [movieRoutes.js] Router created
2025-12-27T10:57:35.091747402Z [inf]  🎉 [movieRoutes.js] ALL IMPORTS SUCCESSFUL!
2025-12-27T10:57:35.091754126Z [err]  ❌ [app.js] FAILED to load movieRoutes: Schema does not contain path page
2025-12-27T10:57:35.091759620Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:35.091765884Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:35.091771831Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:35.091777681Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:35.091787123Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
